,product_name,price,url,location,bet_end_date,img_source,popularity,id,department,scraped_at
45,FORNO DE COZINHA INDUSTRIAL (Ref.: D8),"R$ 3.000,00",https://www.superbid.net/oferta/forno-de-cozinha-industrial-ref-d8-2711090,Itu - SP / São Paulo,2023-04-13,https://ms.sbwebservices.net/photos/025345be-0a68-4b35-b465-a3dd461b3c58.jpg?w=295&h=190&slice=true,46 Visitas,2711090,eletrodomesticos,2023-04-09 23:35
46,"COSMÉTICOS: POMADA MASSAGEADORA, ESFOLIANTE, LEAVE- IN E OUTROS (APROX. 1044 PEÇAS)  (Ref.: 63692)","R$ 4.150,00",https://www.superbid.net/oferta/cosmeticos-pomada-massageadora-esfoliante-leave-in-e-outros-aprox-1044-pecas-ref-63692-2714559,Embu das Artes - SP / São Paulo,2023-04-16,https://ms.sbwebservices.net/photos/f3c7e619-d634-411e-af39-0de07592585a.jpg?w=295&h=190&slice=true,144 Visitas,2714559,eletrodomesticos,2023-04-09 23:35
47,"COSMÉTICOS: SABONETE LIQUIDO, MÁSCARA, DESODORANTE, CORRETIVO E OUTROS (APROX. 1054 PEÇAS)  (Ref.: 63686)","R$ 4.300,00",https://www.superbid.net/oferta/cosmeticos-sabonete-liquido-mascara-desodorante-corretivo-e-outros-aprox-1054-pecas-ref-63686-2714553,Embu das Artes - SP / São Paulo,2023-04-16,https://ms.sbwebservices.net/photos/4d1f6507-7ad8-45b4-8146-6707948ff3de.jpg?w=295&h=190&slice=true,250 Visitas,2714553,eletrodomesticos,2023-04-09 23:35
48,MATERIAS DIVERSOS,"R$ 11.535,00",https://www.superbid.net/oferta/materias-diversos-2696106,Salvador - BA / Bahia,2023-04-12,https://ms.sbwebservices.net/photos/2790a755-ab6d-4a6f-879f-5eb7b5d966fa.jpg?w=295&h=190&slice=true,229 Visitas,2696106,eletrodomesticos,2023-04-09 23:35
49,APARELHOS DIVERSOS,"R$ 11.936,00",https://www.superbid.net/oferta/aparelhos-diversos-2696108,Salvador - BA / Bahia,2023-04-12,https://ms.sbwebservices.net/photos/db667681-2361-4a14-bec7-17354277fed7.jpg?w=295&h=190&slice=true,1 Participantes • 1 Lances,2696108,eletrodomesticos,2023-04-09 23:35
0,LIXEIRAS DE PLÁSTICO DIVERSOS E CARRINHO P/ SERVIÇOS GERAIS (APROX. 136 PÇS) (Ref.: RBP),"R$ 1.500,00",https://www.superbid.net/oferta/lixeiras-de-plastico-diversos-e-carrinho-p-servicos-gerais-aprox-136-pcs-ref-rbp-2707422,Santo Antônio dos Lopes - MA / Maranhão,2023-04-13,https://ms.sbwebservices.net/photos/38d40c34-fe4f-4672-ae29-0f047f4100a1.jpg?w=295&h=190&slice=true,83 Visitas,2707422,appliances,2023-04-09 23:35
1,LIXEIRAS DE PLÁSTICO DIVERSOS E CARRINHO P/ SERVIÇOS GERAIS (APROX. 84 PÇS) (Ref.: RBQ),"R$ 1.200,00",https://www.superbid.net/oferta/lixeiras-de-plastico-diversos-e-carrinho-p-servicos-gerais-aprox-84-pcs-ref-rbq-2707423,Santo Antônio dos Lopes - MA / Maranhão,2023-04-13,https://ms.sbwebservices.net/photos/057f721b-b163-4e5d-b6e5-a0d5371ea3ff.jpg?w=295&h=190&slice=true,70 Visitas,2707423,appliances,2023-04-09 23:35
2,FREEZER HORIZONTAL E REFRIGERADOR ESMALTEC. (Ref.: TAV),"R$ 150,00",https://www.superbid.net/oferta/freezer-horizontal-e-refrigerador-esmaltec-ref-tav-2715566,Madalena - CE / Ceará,2023-04-17,https://ms.sbwebservices.net/photos/56bdfda3-1b51-484e-abfa-c7ae2ca46a49.jpg?w=295&h=190&slice=true,26 Visitas,2715566,appliances,2023-04-09 23:35
3,COSMÉTICOS DIVERSOS (CONFORME LISTAGEM) (Ref.: E-19131/E-19133),"R$ 450,00",https://www.superbid.net/oferta/cosmeticos-diversos-conforme-listagem-ref-e-19131-e-19133-2707198,Embu das Artes - SP / São Paulo,2023-04-16,https://ms.sbwebservices.net/photos/f1491e4f-ce18-4bef-95a4-d3fd130abf61.jpg?w=295&h=190&slice=true,3 Participantes • 4 Lances,2707198,appliances,2023-04-09 23:35
4,"PRATOS, BOWLS, TIGELAS, COPOS E OUTROS (CONFORME LISTAGEM) (Ref.: E-19097/E-19103)","R$ 300,00",https://www.superbid.net/oferta/pratos-bowls-tigelas-copos-e-outros-conforme-listagem-ref-e-19097-e-19103-2707173,Embu das Artes - SP / São Paulo,2023-04-16,https://ms.sbwebservices.net/photos/0971129f-6d80-46fd-8e37-8213b6196a1e.jpg?w=295&h=190&slice=true,1 Participantes • 1 Lances,2707173,appliances,2023-04-09 23:35
